Date,Open,High,Low,Close,Adj Close,Volume
2021-03-03,45.099998,46.299999,43.750000,44.000000,42.481026,436054
2021-03-04,44.450001,45.599998,43.700001,44.750000,43.205132,405756
2021-03-05,45.000000,45.700001,42.500000,43.299999,41.805187,350807
2021-03-08,44.200001,44.200001,40.750000,41.000000,39.584591,846721
2021-03-09,41.799999,41.950001,39.799999,39.950001,38.570839,897162
2021-03-10,40.000000,40.900002,38.700001,39.750000,38.377743,921985
2021-03-11,40.000000,41.750000,39.799999,41.599998,40.163876,730267
2021-03-12,41.599998,43.450001,41.599998,43.250000,41.756916,635931
2021-03-15,44.000000,45.450001,43.500000,45.299999,43.736145,729747
2021-03-16,45.750000,46.500000,44.099998,45.349998,43.784420,675574
2021-03-17,46.000000,46.400002,43.349998,45.200001,43.639603,1290141
2021-03-18,45.400002,45.400002,43.299999,44.099998,42.577568,800856
2021-03-19,44.099998,44.400002,43.349998,43.400002,41.901737,413269
2021-03-22,43.400002,44.400002,42.799999,44.299999,42.770668,373640
2021-03-23,45.000000,45.500000,43.750000,44.549999,43.012035,341404
2021-03-25,43.450001,43.500000,42.150002,42.299999,40.839714,651863
2021-03-26,42.500000,43.200001,41.400002,43.099998,41.612091,1215022
2021-03-29,43.049999,45.500000,42.000000,45.400002,43.832695,643661
2021-03-30,45.299999,47.500000,44.700001,47.400002,45.763649,804580
2021-03-31,47.000000,47.750000,45.900002,47.000000,45.377457,916285
2021-04-05,47.400002,47.750000,46.349998,47.150002,45.522282,324520
2021-04-06,47.200001,48.700001,47.000000,48.650002,46.970497,1813463
2021-04-07,49.650002,49.650002,46.500000,48.099998,46.439484,1441998
2021-04-08,48.150002,49.200001,47.000000,48.549999,46.873947,489495
2021-04-09,48.900002,49.299999,46.900002,48.250000,46.584305,679177
2021-04-12,48.099998,48.799999,46.349998,47.049999,45.425732,373381
2021-04-13,46.599998,47.450001,46.400002,47.049999,45.425732,454977
2021-04-14,47.049999,47.500000,46.000000,46.549999,44.942993,358592
2021-04-15,46.000000,46.299999,44.799999,45.049999,43.494778,465215
2021-04-16,45.049999,45.049999,43.400002,44.650002,43.108589,961386
2021-04-19,44.799999,44.950001,43.750000,44.500000,42.963764,325022
2021-04-20,44.799999,44.799999,42.849998,43.349998,41.853466,766302
2021-04-21,43.299999,44.000000,42.099998,43.950001,42.432755,593960
2021-04-22,44.000000,44.450001,42.549999,43.200001,41.708645,702231
2021-04-23,43.400002,44.700001,42.549999,44.299999,42.770668,524950
2021-04-26,44.900002,45.000000,44.049999,44.500000,42.963764,493926
2021-04-27,44.799999,45.400002,44.349998,44.849998,43.301682,441644
2021-04-28,44.849998,46.250000,44.500000,46.150002,44.556805,735635
2021-04-29,47.000000,47.000000,45.500000,46.599998,44.991264,252694
2021-04-30,46.200001,46.750000,45.500000,45.849998,44.267159,296350
2021-05-03,45.799999,46.299999,45.049999,45.400002,43.832695,356548
2021-05-04,45.500000,45.500000,44.700001,45.099998,43.543049,270867
